Platform type,Base,Year,Qtr,Rfh/t Dist,Rfh/t P1,Rfh/t P2,Rtac/fh Dist,Rtac/fh P1,Rtac/fh P2,Reot/fh Dist,Reot/fh P1,Reot/fh P2,Rwow/fh Dist,Rwow/fh P1,Rwow/fh P2
101101001,10003,2024,1,Constant,44.847457627118644,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10003,2024,2,Constant,38.58317746040426,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10004,2024,1,Constant,44.847457627118644,0,Constant,1,0,Constant,1,0,Constant,1,0
101101001,10004,2024,2,Constant,38.58317746040426,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10001,2024,1,Constant,59.296561947683095,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10001,2024,2,Constant,37.931290765152035,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10002,2024,1,Constant,68.70588235294117,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10002,2024,2,Constant,60.70950047939221,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10003,2024,1,Constant,59.296561947683095,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10003,2024,2,Constant,37.931290765152035,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10004,2024,1,Constant,59.296561947683095,0,Constant,1,0,Constant,1,0,Constant,1,0
101101002,10004,2024,2,Constant,37.931290765152035,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10001,2024,3,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10001,2024,4,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10003,2024,3,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10003,2024,4,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10004,2024,3,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101003,10004,2024,4,Constant,0.0,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10001,2024,3,Constant,43.65702479338843,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10001,2024,4,Constant,44.193097352676226,0,Constant,1,0,Constant,1,0,Constant,1,0
100101004,10003,2024,3,Constant,43.65702479338843,0,Constant,1,0,Constant,1,0,Constant,1,0
